,Shape X,Shape Y,Shape Z,Total Voxels,Voxel Size X mm,Voxel Size Y mm,Voxel Size Z mm,Voxel Volume mm3,Image Volume mm3,Image Volume ml,Min Intensity,Max Intensity,Mean Intensity,Median Intensity,Std Intensity,P01 Intensity,P05 Intensity,P25 Intensity,P75 Intensity,P95 Intensity,P99 Intensity,Nonzero Voxels,Nonzero Percent,Nonzero Mean Intensity,Nonzero Median Intensity,Nonzero Std Intensity,Nonzero Min Intensity,Nonzero Max Intensity,Approx Brain Voxels,Approx Brain Percent Of Image,Approx Brain Volume mm3,Approx Brain Volume ml,Approx Brain Mean Intensity,Approx Brain Median Intensity,Approx Brain Std Intensity,Approx Brain Min Intensity,Approx Brain Max Intensity,Background Voxels,Background Mean Intensity,Background Std Intensity,Simple SNR,Middle Axial Index,Middle Axial Mean,Middle Axial Std,Middle Axial Nonzero Voxels,Middle Coronal Index,Middle Coronal Mean,Middle Coronal Std,Middle Coronal Nonzero Voxels,Middle Sagittal Index,Middle Sagittal Mean,Middle Sagittal Std,Middle Sagittal Nonzero Voxels,Affine 1 1,Affine 1 2,Affine 1 3,Affine 1 4,Affine 2 1,Affine 2 2,Affine 2 3,Affine 2 4,Affine 3 1,Affine 3 2,Affine 3 3,Affine 3 4,Affine 4 1,Affine 4 2,Affine 4 3,Affine 4 4
count,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
mean,224.125,315.5,245.375,20833552.0,1.0081597296521068,0.907294375821948,1.4702284671366215,1.4184018594678491,12771406.269889832,12771.40626988983,0.0,2206.78125,112.19399517774582,3.4366259751841426,210.13449919223785,0.0,0.0,0.2896200530230999,134.24733252823353,548.9081716537476,931.3449997901917,14926818.78125,64.47211343603776,179.9359415769577,31.107551738619804,245.9354041814804,0.033673323632683605,2206.78125,11248392.796875,49.027457287511595,6152078.450610209,6152.07845061021,234.9508273601532,171.98525804281235,257.13692009449005,2.7520247157663107,2206.78125,9585159.203125,0.6004661400802433,0.9152452214621007,283.6297867298126,122.65625,161.96310901641846,225.45345735549927,53876.578125,157.75,210.27777636051178,253.96753907203674,45904.65625,112.0625,214.949582695961,271.5204110145569,68904.890625,0.24413772590924052,0.004615304345449147,0.043975587344903026,-9.842527985572815,-0.02027243759080517,0.8931754761142656,-0.0069504333189343015,-123.75785529613495,0.0019377093376533594,-0.013120816674243196,1.4247100902721286,-118.46569395065308,0.0,0.0,0.0,1.0
std,61.28349424328435,96.7365921147125,157.5595125658873,25665804.656794623,0.19682605715767473,0.22129091954245275,1.1822186744251182,0.9056248179203363,2003029.8491445316,2003.029849144532,0.0,1080.1613117147813,34.29152821496099,3.7353168747264034,73.38863824341965,0.0,0.0,0.6286829135664738,91.73948864864413,190.70013588433068,392.53633989811897,20800687.074361477,11.548108303947151,65.73400795994093,30.269362399613286,98.14481684661965,0.01648220521143912,1080.1613117147813,15808464.185619105,8.886694418928096,926804.4877539119,926.8044877539119,82.10768786003928,68.6029495165378,104.42003454968469,1.2594408242616892,1080.1613117147813,10291277.059070105,0.36201661830363624,0.39068710153339026,112.38855521944805,78.81749438186246,38.40692213296378,93.71997990398074,36000.25055283387,48.36829605735625,56.62818661013056,104.50451787022577,43936.54592929923,30.641747121642176,117.94822135715481,146.97045030645236,70140.750787396,0.9975888058326441,0.01826608703361285,0.3736724255986436,110.78833044397506,0.12155430878569351,0.2436867073439234,0.11513618025511554,34.82768591694336,0.01819385745056359,0.12198538834820878,1.1732886283531268,46.98807105943726,0.0,0.0,0.0,0.0
min,128.0,256.0,26.0,2662400.0,0.5,0.44921875,0.44921875,0.1008987426757812,7550400.0,7550.4,0.0,864.0,48.72928237915039,0.0,85.88406372070312,0.0,0.0,0.0,5.001907348632812,215.9967041015625,340.9988403320312,2005691.0,46.83275010850694,72.87682342529297,4.998855590820312,96.28836822509766,0.01318379491567612,864.0,1571384.0,35.44271642511541,3797775.146484375,3797.775146484375,92.84828186035156,45.99057006835938,100.065055847168,1.013504266738892,864.0,1091016.0,0.1687770932912827,0.3745021224021912,111.8647994995117,13.0,99.71699523925781,114.446159362793,26249.0,128.0,91.69539642333984,103.7481384277344,6846.0,64.0,76.83876037597656,115.6566162109375,7613.0,-1.09375,-0.05764297395944595,-0.06970593333244324,-112.5855178833008,-0.964516282081604,0.09060969203710556,-0.8557739853858948,-156.0485534667969,-0.08646167814731598,-0.9669959545135498,0.1591236293315887,-197.5271759033203,0.0,0.0,0.0,1.0
25%,192.0,256.0,90.0,5865472.0,1.0,0.9722222089767456,0.9722222089767456,0.9452160000801086,10800000.0,10800.0,0.0,1430.5,90.1814079284668,1.0002861022949219,153.34853744506833,0.0,0.0,0.0,52.00874710083008,401.5038070678711,664.0033416748047,3011892.25,54.205920268699394,129.35181808471683,9.005420684814453,172.37999725341797,0.02182803116738796,1430.5,2349116.5,40.866432099759436,5590655.875349045,5590.655875349044,174.051700592041,128.25794982910156,179.91934204101565,2.023590326309204,1430.5,3468880.0,0.3795677796006203,0.7151908427476883,185.54796600341797,45.0,135.25664520263672,157.4643325805664,34979.75,128.0,169.80022430419922,179.79915618896487,15068.5,96.0,124.35873603820801,164.32241821289065,18039.5,-1.09375,0.0,0.0,-95.04592514038086,0.0,0.9062186926603317,0.0,-140.7593002319336,0.0,0.0,0.9722222089767456,-147.5662078857422,0.0,0.0,0.0,1.0
50%,192.0,272.0,256.0,9437184.0,1.0,0.9743923544883728,0.9765625,1.1444091796875,13110600.0,13110.6,0.0,1667.0,101.67374420166016,1.999542236328125,174.06534576416016,0.0,0.0,0.0,137.00135803222656,455.00172424316406,726.9968872070312,7463428.0,65.54216298546811,147.8096694946289,20.497917175292965,195.6373443603516,0.025436789728701115,1667.0,5724481.0,46.97782345760016,6060780.663790047,6060.780663790047,208.9155731201172,173.99201202392578,204.0363006591797,3.0125582218170166,1667.0,4101627.5,0.48389455676078796,0.8255465626716614,262.1219940185547,128.0,151.87039947509766,177.23822021484375,39158.0,136.0,197.41990661621094,204.32577514648435,34584.5,96.0,148.1278839111328,188.4479522705078,50571.5,0.9992981851100922,0.0,0.0,-85.80064392089844,0.0,0.9733171761035919,0.0,-128.64791107177734,0.0,0.0,0.9765565395355225,-124.0234375,0.0,0.0,0.0,1.0
75%,256.0,288.0,288.0,15925248.0,1.09375,1.09375,2.0,2.392578125,15052799.21484375,15052.79921484375,0.0,3062.25,132.0150909423828,4.250572204589844,272.4940948486328,0.0,0.0,0.0,187.24866485595703,720.00927734375,1248.4854736328125,10511978.5,74.32486746046278,235.82991409301758,39.00880432128906,340.14159393310547,0.04672694019973278,3062.25,7764041.0,56.68856616863989,6851074.835618734,6851.074835618734,304.9883804321289,205.5059509277344,360.56623840332026,3.061799049377441,3062.25,8958104.5,0.6992512345314026,1.073652505874634,387.1107406616211,144.0,180.1453552246094,296.9901123046875,52255.5,144.0,250.5274543762207,338.41744232177734,47352.5,128.0,334.8234481811524,406.50687408447266,59148.5,1.0,3.525214842259317e-11,0.0,139.3959846496582,0.0,1.09375,0.0,-118.0091133117676,0.0,0.0,2.0,-91.78730201721191,0.0,0.0,0.0,1.0
max,384.0,512.0,512.0,100663296.0,1.450000047683716,1.09375,6.0,3.099609375,15366400.0,15366.4,0.0,4095.0,202.9790954589844,15.996337890625,398.8668212890625,0.0,0.0,3.010299921035767,359.9916381835938,1104.9970703125,1928.995849609375,90196648.0,89.60231939951579,367.3699645996094,156.0111694335938,478.3876953125,0.06248569488525391,4095.0,69112172.0,68.6567743619283,8535719.211411417,8535.719211411417,463.9684448242188,363.9791870117188,494.8058471679688,8.049134254455566,4095.0,41505794.0,1.907580614089966,2.699928045272827,495.2058410644531,256.0,263.0243530273438,472.3450012207031,194527.0,256.0,352.9837036132812,507.9755249023438,194028.0,192.0,479.7278137207031,586.8670043945312,237569.0,1.448730111122131,0.07120381295681,2.985091924667358,145.3130340576172,0.04466928169131279,1.09375,0.2528466284275055,105.8996047973633,0.08579651266336441,0.1023122519254684,6.000003814697266,136.1263732910156,0.0,0.0,0.0,1.0
